ARENA.MB|Arena
BATTLE.MB|Battle
BEAST.MB|Beast
BENTBEAKS.MB|Bent Beaks
BIRDS.MB|Birds
BRIDGE.MB|Bridge
BRIGANDS.MB|Brigands
CLIFF.MB|Cliff
CROSSROADS.MB|Crossroads
CRYSTAL.MB|Crystal
DANGER.MB|Danger
DEATH.MB|Death
DEEPWATER.MB|Deep Water
DREAD.MB|Dread
DWARFSCORP.MB|Dwarf Scorpions
EAGLE.MB|Eagle
FROGS.MB|Frogs
GARDENS.MB|Gardens
GIANT.MB|Giant
GRASSLAND.MB|Grassland
LOG.MB|Log
MIST.MB|Mist
MUD.MB|Mud
NORTHSWAMP.MB|Northern Swamp
ORCS.MB|Orcs
PATROLLER.MB|Patroller
PICNIC.MB|Picnic
PINCERS.MB|Pincers
POOL.MB|Pool
QUICKSAND.MB|Quicksand
RIVER.MB|River
ROUNDABOUT.MB|Roundabout
SCORPIONS.MB|Scorpions
SOUTHSWAMP.MB|Southern Swamp
SPIDERS.MB|Spiders
STAGNANT.MB|Stagnant
SWORDTREES.MB|Sword Trees
TOWER.MB|Tower
UNICORN.MB|Unicorn
VICTORY.MB|Victory
VILLAGE.MB|Village
WELCOME.MB|Welcome
WILLOWISP.MB|Will-o-the-Wisp
WOLFMASTER.MB|Wolf Master
WOLVES.MB|Wolves
